# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-07-31 15:17:49 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08096500 Brazos Rv at Waco, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 08096500
#            TS   parameter     statistic     Description
#        135077       00060     00001     Discharge, cubic feet per second (Maximum)
#        135078       00060     00002     Discharge, cubic feet per second (Minimum)
#        135079       00060     00003     Discharge, cubic feet per second (Mean)
#        135080       00065     00001     Gage height, feet (Maximum)
#        135081       00065     00002     Gage height, feet (Minimum)
#        135082       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
#    93  Daily mean calculated from data on this day matches published daily mean within 10 percent
# 
agency_cd	site_no	datetime	135077_00060_00001	135077_00060_00001_cd	135078_00060_00002	135078_00060_00002_cd	135079_00060_00003	135079_00060_00003_cd	135080_00065_00001	135080_00065_00001_cd	135081_00065_00002	135081_00065_00002_cd	135082_00065_00003	135082_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	08096500	1898-10-01					1400	A						
USGS	08096500	1898-10-02					1100	A						
USGS	08096500	1898-10-03					750	A						
USGS	08096500	1898-10-04					680	A						
USGS	08096500	1898-10-05					610	A						
USGS	08096500	1898-10-06					610	A						
USGS	08096500	1898-10-07					910	A						
USGS	08096500	1898-10-08					480	A						
USGS	08096500	1898-10-09					420	A						
USGS	08096500	1898-10-10					370	A						
USGS	08096500	1898-10-11					370	A						
USGS	08096500	1898-10-12					240	A						
USGS	08096500	1898-10-13					240	A						
USGS	08096500	1898-10-14					172	A						
USGS	08096500	1898-10-15					172	A						
USGS	08096500	1898-10-16					143	A						
USGS	08096500	1898-10-17					143	A						
USGS	08096500	1898-10-18					420	A						
USGS	08096500	1898-10-19					480	A						
USGS	08096500	1898-10-20					370	A						
USGS	08096500	1898-10-21					280	A						
USGS	08096500	1898-10-22					205	A						
USGS	08096500	1898-10-23					240	A						
USGS	08096500	1898-10-24					240	A						
USGS	08096500	1898-10-25					205	A						
USGS	08096500	1898-10-26					143	A						
USGS	08096500	1898-10-27					143	A						
USGS	08096500	1898-10-28					143	A						
USGS	08096500	1898-10-29					143	A						
USGS	08096500	1898-10-30					118	A						
USGS	08096500	1898-10-31					118	A						
USGS	08096500	1898-11-01					96.0	A						
USGS	08096500	1898-11-02					96.0	A						
USGS	08096500	1898-11-03					96.0	A						
USGS	08096500	1898-11-04					96.0	A						
USGS	08096500	1898-11-05					118	A						
USGS	08096500	1898-11-06					96.0	A						
USGS	08096500	1898-11-07					76.0	A						
USGS	08096500	1898-11-08					76.0	A						
USGS	08096500	1898-11-09					118	A						
USGS	08096500	1898-11-10					143	A						
USGS	08096500	1898-11-11					143	A						
USGS	08096500	1898-11-12					172	A						
USGS	08096500	1898-11-13					143	A						
USGS	08096500	1898-11-14					118	A						
USGS	08096500	1898-11-15					118	A						
USGS	08096500	1898-11-16					96.0	A						
USGS	08096500	1898-11-17					96.0	A						
USGS	08096500	1898-11-18					96.0	A						
USGS	08096500	1898-11-19					76.0	A						
USGS	08096500	1898-11-20					76.0	A						
USGS	08096500	1898-11-21					118	A						
USGS	08096500	1898-11-22					96.0	A						
USGS	08096500	1898-11-23					76.0	A						
USGS	08096500	1898-11-24					76.0	A						
USGS	08096500	1898-11-25					96.0	A						
USGS	08096500	1898-11-26					118	A						
USGS	08096500	1898-11-27					118	A						
USGS	08096500	1898-11-28					118	A						
USGS	08096500	1898-11-29					96.0	A						
USGS	08096500	1898-11-30					96.0	A						
USGS	08096500	1898-12-01					76.0	A						
USGS	08096500	1898-12-02					76.0	A						
USGS	08096500	1898-12-03					76.0	A						
USGS	08096500	1898-12-04					76.0	A						
USGS	08096500	1898-12-05					96.0	A						
USGS	08096500	1898-12-06					96.0	A						
USGS	08096500	1898-12-07					76.0	A						
USGS	08096500	1898-12-08					76.0	A						
USGS	08096500	1898-12-09					76.0	A						
USGS	08096500	1898-12-10					96.0	A						
USGS	08096500	1898-12-11					96.0	A						
USGS	08096500	1898-12-12					96.0	A						
USGS	08096500	1898-12-13					96.0	A						
USGS	08096500	1898-12-14					96.0	A						
USGS	08096500	1898-12-15					96.0	A						
USGS	08096500	1898-12-16					118	A						
USGS	08096500	1898-12-17					118	A						
USGS	08096500	1898-12-18					143	A						
USGS	08096500	1898-12-19					830	A						
USGS	08096500	1898-12-20					480	A						
USGS	08096500	1898-12-21					325	A						
USGS	08096500	1898-12-22					280	A						
USGS	08096500	1898-12-23					280	A						
USGS	08096500	1898-12-24					240	A						
USGS	08096500	1898-12-25					172	A						
USGS	08096500	1898-12-26					143	A						
USGS	08096500	1898-12-27					143	A						
USGS	08096500	1898-12-28					143	A						
USGS	08096500	1898-12-29					143	A						
USGS	08096500	1898-12-30					143	A						
USGS	08096500	1898-12-31					143	A						
USGS	08096500	1899-01-01					205	A						
USGS	08096500	1899-01-02					188	A						
USGS	08096500	1899-01-03					172	A						
USGS	08096500	1899-01-04					143	A						
USGS	08096500	1899-01-05					143	A						
USGS	08096500	1899-01-06					143	A						
USGS	08096500	1899-01-07					172	A						
USGS	08096500	1899-01-08					143	A						
USGS	08096500	1899-01-09					143	A						
USGS	08096500	1899-01-10					143	A						
USGS	08096500	1899-01-11					143	A						
USGS	08096500	1899-01-12					143	A						
USGS	08096500	1899-01-13					143	A						
USGS	08096500	1899-01-14					143	A						
USGS	08096500	1899-01-15					172	A						
USGS	08096500	1899-01-16					130	A						
USGS	08096500	1899-01-17					118	A						
USGS	08096500	1899-01-18					118	A						
USGS	08096500	1899-01-19					130	A						
USGS	08096500	1899-01-20					143	A						
USGS	08096500	1899-01-21					143	A						
USGS	08096500	1899-01-22					158	A						
USGS	08096500	1899-01-23					118	A						
USGS	08096500	1899-01-24					143	A						
USGS	08096500	1899-01-25					143	A						
USGS	08096500	1899-01-26					118	A						
USGS	08096500	1899-01-27					118	A						
USGS	08096500	1899-01-28					118	A						
USGS	08096500	1899-01-29					107	A						
USGS	08096500	1899-01-30					118	A						
USGS	08096500	1899-01-31					96.0	A						
USGS	08096500	1899-02-01					96.0	A						
USGS	08096500	1899-02-02					107	A						
USGS	08096500	1899-02-03					118	A						
USGS	08096500	1899-02-04					118	A						
USGS	08096500	1899-02-05					118	A						
USGS	08096500	1899-02-06					107	A						
USGS	08096500	1899-02-07					118	A						
USGS	08096500	1899-02-08					86.0	A						
USGS	08096500	1899-02-09					86.0	A						
USGS	08096500	1899-02-10					118	A						
USGS	08096500	1899-02-11					118	A						
USGS	08096500	1899-02-12					96.0	A						
USGS	08096500	1899-02-13					96.0	A						
USGS	08096500	1899-02-14					96.0	A						
USGS	08096500	1899-02-15					96.0	A						
USGS	08096500	1899-02-16					96.0	A						
USGS	08096500	1899-02-17					118	A						
USGS	08096500	1899-02-18					118	A						
USGS	08096500	1899-02-19					118	A						
USGS	08096500	1899-02-20					107	A						
USGS	08096500	1899-02-21					96.0	A						
USGS	08096500	1899-02-22					96.0	A						
USGS	08096500	1899-02-23					96.0	A						
USGS	08096500	1899-02-24					96.0	A						
USGS	08096500	1899-02-25					96.0	A						
USGS	08096500	1899-02-26					96.0	A						
USGS	08096500	1899-02-27					96.0	A						
USGS	08096500	1899-02-28					76.0	A						
USGS	08096500	1899-03-01					76.0	A						
USGS	08096500	1899-03-02					86.0	A						
USGS	08096500	1899-03-03					76.0	A						
USGS	08096500	1899-03-04					76.0	A						
USGS	08096500	1899-03-05					67.0	A						
USGS	08096500	1899-03-06					58.0	A						
USGS	08096500	1899-03-07					58.0	A						
USGS	08096500	1899-03-08					42.0	A						
USGS	08096500	1899-03-09					76.0	A						
USGS	08096500	1899-03-10					50.0	A						
USGS	08096500	1899-03-11					42.0	A						
USGS	08096500	1899-03-12					35.0	A						
USGS	08096500	1899-03-13					28.0	A						
USGS	08096500	1899-03-14					42.0	A						
USGS	08096500	1899-03-15					42.0	A						
USGS	08096500	1899-03-16					42.0	A						
USGS	08096500	1899-03-17					42.0	A						
USGS	08096500	1899-03-18					42.0	A						
USGS	08096500	1899-03-19					58.0	A						
USGS	08096500	1899-03-20					35.0	A						
USGS	08096500	1899-03-21					28.0	A						
USGS	08096500	1899-03-22					28.0	A						
USGS	08096500	1899-03-23					15.0	A						
USGS	08096500	1899-03-24					28.0	A						
USGS	08096500	1899-03-25					15.0	A						
USGS	08096500	1899-03-26					28.0	A						
USGS	08096500	1899-03-27					28.0	A						
USGS	08096500	1899-03-28					28.0	A						
USGS	08096500	1899-03-29					22.0	A						
USGS	08096500	1899-03-30					15.0	A						
USGS	08096500	1899-03-31					15.0	A						
USGS	08096500	1899-04-01					15.0	A						
USGS	08096500	1899-04-02					28.0	A						
USGS	08096500	1899-04-03					28.0	A						
USGS	08096500	1899-04-04					28.0	A						
USGS	08096500	1899-04-05					28.0	A						
USGS	08096500	1899-04-06					76.0	A						
USGS	08096500	1899-04-07					58.0	A						
USGS	08096500	1899-04-08					58.0	A						
USGS	08096500	1899-04-09					58.0	A						
USGS	08096500	1899-04-10					58.0	A						
USGS	08096500	1899-04-11					50.0	A						
USGS	08096500	1899-04-12					35.0	A						
USGS	08096500	1899-04-13					15.0	A						
USGS	08096500	1899-04-14					28.0	A						
USGS	08096500	1899-04-15					3080	A						
USGS	08096500	1899-04-16					222	A						
USGS	08096500	1899-04-17					158	A						
USGS	08096500	1899-04-18					172	A						
USGS	08096500	1899-04-19					130	A						
USGS	08096500	1899-04-20					118	A						
USGS	08096500	1899-04-21					107	A						
USGS	08096500	1899-04-22					96.0	A						
USGS	08096500	1899-04-23					96.0	A						
USGS	08096500	1899-04-24					76.0	A						
USGS	08096500	1899-04-25					76.0	A						
USGS	08096500	1899-04-26					67.0	A						
USGS	08096500	1899-04-27					76.0	A						
USGS	08096500	1899-04-28					76.0	A						
USGS	08096500	1899-04-29					58.0	A						
USGS	08096500	1899-04-30					50.0	A						
USGS	08096500	1899-05-01					58.0	A						
USGS	08096500	1899-05-02					50.0	A						
USGS	08096500	1899-05-03					42.0	A						
USGS	08096500	1899-05-04					118	A						
USGS	08096500	1899-05-05					205	A						
USGS	08096500	1899-05-06					205	A						
USGS	08096500	1899-05-07					172	A						
USGS	08096500	1899-05-08					172	A						
USGS	08096500	1899-05-09					158	A						
USGS	08096500	1899-05-10					395	A						
USGS	08096500	1899-05-11					2130	A						
USGS	08096500	1899-05-12					2300	A						
USGS	08096500	1899-05-13					2900	A						
USGS	08096500	1899-05-14					1700	A						
USGS	08096500	1899-05-15					1050	A						
USGS	08096500	1899-05-16					1200	A						
USGS	08096500	1899-05-17					1300	A						
USGS	08096500	1899-05-18					3460	A						
USGS	08096500	1899-05-19					2660	A						
USGS	08096500	1899-05-20					1800	A						
USGS	08096500	1899-05-21					1200	A						
USGS	08096500	1899-05-22					1100	A						
USGS	08096500	1899-05-23					790	A						
USGS	08096500	1899-05-24					1500	A						
USGS	08096500	1899-05-25					3720	A						
USGS	08096500	1899-05-26					3020	A						
USGS	08096500	1899-05-27					2540	A						
USGS	08096500	1899-05-28					2080	A						
USGS	08096500	1899-05-29					2020	A						
USGS	08096500	1899-05-30					4940	A						
