batch_size	do	Nlyr	Nnodes
500	0.1	5	50
500	0.2	5	75
500	0.3	5	100
500	0.4	5	150
500	0.5	5	200
1000	0.1	5	50
1000	0.2	5	75
1000	0.3	5	100
1000	0.4	5	150
1000	0.5	5	200
2500	0.1	5	50
2500	0.2	5	75
2500	0.3	5	100
2500	0.4	5	150
2500	0.5	5	200
5000	0.1	5	50
5000	0.2	5	75
5000	0.3	5	100
5000	0.4	5	150
5000	0.5	5	200
10000	0.1	5	50
10000	0.2	5	75
10000	0.3	5	100
10000	0.4	5	150
10000	0.5	5	200
500	0.1	6	50
500	0.2	6	75
500	0.3	6	100
500	0.4	6	150
500	0.5	6	200
1000	0.1	6	50
1000	0.2	6	75
1000	0.3	6	100
1000	0.4	6	150
1000	0.5	6	200
2500	0.1	6	50
2500	0.2	6	75
2500	0.3	6	100
2500	0.4	6	150
2500	0.5	6	200
5000	0.1	6	50
5000	0.2	6	75
5000	0.3	6	100
5000	0.4	6	150
5000	0.5	6	200
10000	0.1	6	50
10000	0.2	6	75
10000	0.3	6	100
10000	0.4	6	150
10000	0.5	6	200
500	0.1	7	50
500	0.2	7	75
500	0.3	7	100
500	0.4	7	150
500	0.5	7	200
1000	0.1	7	50
1000	0.2	7	75
1000	0.3	7	100
1000	0.4	7	150
1000	0.5	7	200
2500	0.1	7	50
2500	0.2	7	75
2500	0.3	7	100
2500	0.4	7	150
2500	0.5	7	200
5000	0.1	7	50
5000	0.2	7	75
5000	0.3	7	100
5000	0.4	7	150
5000	0.5	7	200
10000	0.1	7	50
10000	0.2	7	75
10000	0.3	7	100
10000	0.4	7	150
10000	0.5	7	200
500	0.1	8	50
500	0.2	8	75
500	0.3	8	100
500	0.4	8	150
500	0.5	8	200
1000	0.1	8	50
1000	0.2	8	75
1000	0.3	8	100
1000	0.4	8	150
1000	0.5	8	200
2500	0.1	8	50
2500	0.2	8	75
2500	0.3	8	100
2500	0.4	8	150
2500	0.5	8	200
5000	0.1	8	50
5000	0.2	8	75
5000	0.3	8	100
5000	0.4	8	150
5000	0.5	8	200
10000	0.1	8	50
10000	0.2	8	75
10000	0.3	8	100
10000	0.4	8	150
10000	0.5	8	200
