t           	Cmax        	sigma3x     	sigma3y     
5.0000000000	5032.9212104	9.4868329805	3.0000000000
10.000000000	2516.4606052	13.416407865	4.2426406871
15.000000000	1677.6404034	16.431676725	5.1961524227
20.000000000	1258.2303026	18.973665961	6.0000000000
25.000000000	1006.5842420	21.213203435	6.7082039325
30.000000000	838.82020174	23.237900077	7.3484692283
35.000000000	718.98874434	25.099800796	7.9372539332
40.000000000	629.11515130	26.832815730	8.4852813742
45.000000000	559.21346782	28.460498941	9.0000000000
50.000000000	503.29212104	30.000000000	9.4868329805
55.000000000	457.53829185	31.464265445	9.9498743711
60.000000000	419.41010087	32.863353450	10.392304845
65.000000000	387.14778541	34.205262753	10.816653826
70.000000000	359.49437217	35.496478698	11.224972160
75.000000000	335.52808069	36.742346141	11.618950038
80.000000000	314.55757565	37.947331922	12.000000000
85.000000000	296.05418884	39.115214431	12.369316876
90.000000000	279.60673391	40.249223595	12.727922061
95.000000000	264.89059002	41.352146256	13.076696830
100.00000000	251.64606052	42.426406871	13.416407865
