batch_size	do	Nlyr_MLP	Nnodes_MLP
500	0.2	3	5
500	0.2	5	10
500	0.2	10	25
500	0.2	25	50
500	0.2	50	75
500	0.2	3	10
500	0.2	5	25
500	0.2	10	50
500	0.2	25	75
500	0.2	50	5
500	0.2	3	25
500	0.2	5	50
500	0.2	10	75
500	0.2	25	5
500	0.2	50	10
500	0.2	3	50
500	0.2	5	75
500	0.2	10	5
500	0.2	25	10
500	0.2	50	25
500	0.2	3	75
500	0.2	5	5
500	0.2	10	10
500	0.2	25	25
500	0.2	50	50
500	0.3	3	5
500	0.3	5	10
500	0.3	10	25
500	0.3	25	50
500	0.3	50	75
500	0.3	3	10
500	0.3	5	25
500	0.3	10	50
500	0.3	25	75
500	0.3	50	5
500	0.3	3	25
500	0.3	5	50
500	0.3	10	75
500	0.3	25	5
500	0.3	50	10
500	0.3	3	50
500	0.3	5	75
500	0.3	10	5
500	0.3	25	10
500	0.3	50	25
500	0.3	3	75
500	0.3	5	5
500	0.3	10	10
500	0.3	25	25
500	0.3	50	50
